geoid,county_name,component,component_score,recommendation_status,corridor
51059,Fairfax County,commercial_activity,80.55741762018285,Feasibility constrained,I-95 / I-66 Northern Virginia
51059,Fairfax County,competition,92.24798903251624,Feasibility constrained,I-95 / I-66 Northern Virginia
51059,Fairfax County,overlap_risk,25.322168676211117,Feasibility constrained,I-95 / I-66 Northern Virginia
51061,Fauquier County,market_demand,57.82018538861266,Overlap constrained,I-66 Piedmont
51061,Fauquier County,growth,65.86349005751475,Overlap constrained,I-66 Piedmont
51061,Fauquier County,purchasing_power,65.52018150168402,Overlap constrained,I-66 Piedmont
51061,Fauquier County,highway_opportunity,41.43862883594986,Overlap constrained,I-66 Piedmont
51061,Fauquier County,accessibility,88.2150495691133,Overlap constrained,I-66 Piedmont
51061,Fauquier County,commercial_activity,45.42464664299638,Overlap constrained,I-66 Piedmont
51061,Fauquier County,competition,80.95286400216406,Overlap constrained,I-66 Piedmont
51061,Fauquier County,overlap_risk,24.179978099924487,Overlap constrained,I-66 Piedmont
51063,Floyd County,market_demand,33.56133795997535,Ineligible: no interstate access,Not in a screened corridor
51063,Floyd County,growth,33.35085570725687,Ineligible: no interstate access,Not in a screened corridor
51063,Floyd County,purchasing_power,18.21013205666412,Ineligible: no interstate access,Not in a screened corridor
51063,Floyd County,highway_opportunity,11.867293336749409,Ineligible: no interstate access,Not in a screened corridor
51063,Floyd County,accessibility,79.59489730157449,Ineligible: no interstate access,Not in a screened corridor
51063,Floyd County,commercial_activity,22.960477516113478,Ineligible: no interstate access,Not in a screened corridor
51063,Floyd County,competition,84.91591688089117,Ineligible: no interstate access,Not in a screened corridor
51063,Floyd County,overlap_risk,69.77726935802312,Ineligible: no interstate access,Not in a screened corridor
51065,Fluvanna County,market_demand,42.003129024735564,Traffic data unavailable,I-64 Charlottesville
51065,Fluvanna County,growth,57.68523977378874,Traffic data unavailable,I-64 Charlottesville
51065,Fluvanna County,purchasing_power,37.80198527050549,Traffic data unavailable,I-64 Charlottesville
51065,Fluvanna County,highway_opportunity,13.094106400549977,Traffic data unavailable,I-64 Charlottesville
51065,Fluvanna County,accessibility,84.50329863305134,Traffic data unavailable,I-64 Charlottesville
