geoid,county_name,is_independent_city,aland_sqmi,region,total_population,households,median_hh_income,per_capita_income,median_age,pop_density_sqmi,pop_growth_pct,mhi_growth_pct,mhi_growth_real_pct,max_aadt,interstate_max_aadt,interstate_miles,vmt_proxy,establishments_all,gas_stations,food_service_estabs,gas_stations_per_10k,dist_interstate_mi,dist_open_bucees_mi,dist_any_bucees_mi,interstate_crosses_county
51185,Tazewell County,0,518.791190831253,,39933,15951,45788.0,28604.0,45.0,77.0,-5.1,11.74,-7.92,17000.0,,,1407023.9782302096,895,34.0,68.0,8.51,19.264731857063598,139.11341796814946,139.11341796814946,False
51187,Warren County,0,214.57181281342017,,41104,15357,84331.0,39834.0,40.5,191.6,4.2,23.67,1.92,56000.0,56000.0,39.8164370181768,2423205.282424685,882,16.0,75.0,3.89,3.395683495999815,54.53143611405752,52.92543726038261,True
51191,Washington County,0,561.1931885708306,,53913,22118,62774.0,38582.0,46.9,96.1,-0.91,35.69,11.83,63000.0,63000.0,73.86655254130783,4675766.626270642,1207,39.0,89.0,7.23,1.2861142517420179,105.67423846550595,105.67423846550595,True
51193,Westmoreland County,0,229.32607398068188,,18683,8029,59766.0,37305.0,48.0,81.5,5.92,10.13,-9.24,8100.0,,,453796.4356052452,338,9.0,35.0,4.82,38.12760567153492,116.72167798389381,41.30831284538942,False
51195,Wise County,0,403.4398018392618,,35727,14055,50740.0,24622.0,42.1,88.6,-8.45,32.32,9.05,19000.0,,,1532391.4415654086,607,29.0,59.0,8.12,26.525912833208512,88.26705043577167,88.26705043577167,False
51197,Wythe County,0,461.9521198669843,,28219,12396,55359.0,33564.0,45.9,61.1,-2.49,15.23,-5.04,61000.0,61000.0,80.50722660567068,3849504.5623246,691,29.0,58.0,10.28,2.571947272972624,154.4626272057094,114.89408400061575,True
51199,York County,0,104.70132234113629,,70590,26445,108326.0,51183.0,39.8,674.2,4.44,19.87,-1.21,170000.0,170000.0,102.1871812428613,11401527.929326035,1503,14.0,148.0,1.98,2.458503262424226,150.3878895341165,29.708312117515955,True
51510,Alexandria city,1,14.935331882655525,,156788,75349,113638.0,77935.0,37.5,10497.8,0.18,17.48,-3.19,65000.0,,,1370060.8421136772,4493,25.0,385.0,1.59,1.1481112107258205,104.69345160817919,34.25052223289059,True
51520,Bristol city,1,12.871189974565281,,17024,7327,44706.0,29646.0,42.6,1322.6,1.07,17.95,-2.8,17000.0,,,323060.7926289615,533,17.0,65.0,9.99,0.5718525518526356,92.32409864368151,92.32409864368151,True
51530,Buena Vista city,1,6.438157740359966,,6612,2611,54458.0,33175.0,36.2,1027.0,3.33,58.89,30.95,11000.0,,,44897.33176448373,109,4.0,10.0,6.05,3.35604356056608,49.01201933833644,49.01201933833644,False
51540,Charlottesville city,1,10.245312669237533,,45863,19699,69829.0,48395.0,32.9,4476.5,-2.51,18.49,-2.35,55000.0,,,958158.7041181244,2070,16.0,291.0,3.49,1.8710667542380826,32.510192378921175,32.510192378921175,True
51550,Chesapeake city,1,338.4564004374053,,251153,92361,94189.0,43819.0,37.7,742.1,5.61,24.28,2.42,116000.0,116000.0,52.440835575709485,10063886.971786637,5867,73.0,506.0,2.91,5.535959542840731,184.85839632796865,68.38007061714114,True
